state,category,number,date
utah,Local Government,"18,298",2022-06-14
utah,State Government,"21,361",2022-06-14
utah,Federal/National Government (Including Military),219,2022-06-14
utah,Tribes/Indigenous Peoples,25,2022-06-14
utah,Businesses,"21,945",2022-06-14
utah,Hotels and Other Lodgings,0,2022-06-14
utah,Healthcare,"14,339",2022-06-14
utah,Senior Facilities/Communities,"3,792",2022-06-14
utah,Disability/AFN Organizations,591,2022-06-14
utah,Non-Profit Organizations,"4,643",2022-06-14
utah,Neighborhood Groups,"2,955",2022-06-14
utah,Preparedness Organizations,766,2022-06-14
utah,Faith-based Organizations,"14,542",2022-06-14
utah,"Museums, Libraries, Parks, etc.",90,2022-06-14
utah,Animal Shelter/Service Providers,0,2022-06-14
utah,Agriculture/Livestock Sector,0,2022-06-14
utah,Volunteer Radio Groups,513,2022-06-14
utah,Science/Engineering Organizations,156,2022-06-14
utah,Media Organizations,230,2022-06-14
utah,Other,982,2022-06-14
washington,"<tr><td align=""left""><a href=""https://www.shakeout.org/washington/participant_list.php?start=washington&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">94</td></tr>",94,2022-06-14
washington,Childcare and Pre-Schools,0,2022-06-14
washington,K-12 Schools and Districts,"43,583",2022-06-14
washington,Colleges and Universities,4,2022-06-14
washington,Local Government,928,2022-06-14
washington,State Government,"7,051",2022-06-14
washington,Federal/National Government (Including Military),0,2022-06-14
washington,Tribes/Indigenous Peoples,640,2022-06-14
washington,Businesses,"4,302",2022-06-14
washington,Hotels and Other Lodgings,0,2022-06-14
washington,Healthcare,"3,427",2022-06-14
washington,Senior Facilities/Communities,575,2022-06-14
washington,Disability/AFN Organizations,0,2022-06-14
washington,Non-Profit Organizations,144,2022-06-14
washington,Neighborhood Groups,210,2022-06-14
washington,Preparedness Organizations,10,2022-06-14
washington,Faith-based Organizations,0,2022-06-14
washington,"Museums, Libraries, Parks, etc.",45,2022-06-14
washington,Animal Shelter/Service Providers,0,2022-06-14
washington,Agriculture/Livestock Sector,0,2022-06-14
washington,Volunteer Radio Groups,41,2022-06-14
washington,Science/Engineering Organizations,335,2022-06-14
washington,Media Organizations,0,2022-06-14
washington,Other,50,2022-06-14
wyoming,"<tr><td align=""left""><a href=""https://www.shakeout.org/wyoming/participant_list.php?start=wyoming&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-14
